[2025-06-25 06:00:02] INFO - 🔧 Logging initialized
[2025-06-25 06:00:02] INFO - 프로그램 시작됨
[2025-06-25 06:00:16] INFO - 🔢 총 공고 수: 174477건 → 최대 페이지 수: 3490 페이지
[2025-06-25 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-06-25 06:00:42] INFO - 0125 | ㈜유안에이치알 | [MBC/식대지원/상여有]음향제작파트 기술보조(음향제작)/방송관련학교우대 | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0126 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0127 | ㈜교원구몬 | [연제구]주2-3회관리,유아초저관리/자녀학습비지원/출퇴근용이/초보가능 | 8시간 전 등록
[2025-06-25 06:00:42] INFO - 0128 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0129 | ㈜업사이트 | [정규직] AI 개발자/엔지니어 채용 | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0130 | ㈜로토토베베 | 로토토베베 아동복 디자이너 경력 모집 | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0131 | ㈜교원구몬 | 사상구[특별모집]영업no.아이들과함께소통하실분/주2-3일/초저유아관리 | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0132 | 아이오 영어학원 | 아이오 에듀 행정운영팀 신규 직원 채용 | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0133 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0134 | ㈜교원구몬 | 남구/아이와소통하실분,주2회관리,유아초저관리/출퇴근용이/정년없는 | 8시간 전 등록
[2025-06-25 06:00:43] INFO - 0135 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0136 | ㈜케이씨엠에스 | 을지로3가역 신한카드 통합보험시스템 운영 (t07) | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0137 | ㈜아벤토 | [로베라·아벤토] 컨텐츠/웹디자이너 경력직 채용 | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0138 | ㈜크래프톤 | [HR Div.] 성과관리 및 평가 담당자 (HRM) (8년 - 12년) | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0139 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용. | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0140 | 엔사이트어학원 | 초중등 문법 독해 영어 선생님 / 파트 | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0141 | 에이디업에듀케이션 | PC를 통한 간단한 사무업무 | 8시간 전 등록
[2025-06-25 06:00:44] INFO - 0142 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용. | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0143 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용. | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0144 | 법무법인 태성 | 법무법인 건축 토목 기술진(분야별) | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0145 | 리모와코리아 유한회사 | [리모와코리아] Visual Merchandiser 채용 | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0146 | ㈜케이씨엠에스 | 여의도 캐피탈 상담심사 운영 (t06) | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0147 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0148 | 법무법인 태성 | 법무법인 부동산등기 담당 사무원 채용(분야별) | 8시간 전 등록
[2025-06-25 06:00:45] INFO - 0149 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-06-25 06:00:46] INFO - 0150 | 푸본현대생명보험㈜ | [푸본현대생명] 금융지점 아르바이트 모집 | 8시간 전 등록
[2025-06-25 06:00:46] INFO - ⏱ 2.48초 대기
[2025-06-25 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-06-25 06:00:49] INFO - 0151 | ㈜양양산업 | 부문별 사원 모집(생산관리외)ㅡ시흥 미산동ㅡ세정제류ㅡ엘지&쿠팡 협력사 | 8시간 전 등록
[2025-06-25 06:00:49] INFO - 0152 | ㈜크래프톤 | [HR Div.] Employee Relations 담당자 (3년 이상) | 8시간 전 등록
[2025-06-25 06:00:49] INFO - 0153 | 법무법인 태성 | 법무법인 내근사무장 채용 공고 | 8시간 전 등록
[2025-06-25 06:00:49] INFO - 0154 | ㈜거제정상어학원 | 영어선생님 채용 | 8시간 전 등록
[2025-06-25 06:00:49] INFO - 0155 | 에이아이에이프리미어파트너스㈜ | [범어동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0156 | 에이아이에이프리미어파트너스㈜ | [연산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0157 | 에이아이에이프리미어파트너스㈜ | [다산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용. | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0158 | ㈜케이씨엠에스 | 종로 손해보험 장기 운영 (t06) | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0159 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0160 | 동탄i유소년축구클럽 | 축구클럽 코치님 모집 (DTI FC) | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0161 | 비알메디케어 | 대학병원 의료기기 유지보수 및 영업사원 | 8시간 전 등록
[2025-06-25 06:00:50] INFO - 0162 | 프라임에셋 | 병원인하우스 근무하실분 모집/ 경단녀.투잡가능/ 온라인영업 가능 | 8시간 전 등록
[2025-06-25 06:00:51] INFO - 0163 | 세라미크의원 강남 | [주4.5일/신논현,강남] 세라미크의원 피부관리사 모집 | 8시간 전 등록
[2025-06-25 06:00:51] INFO - 0164 | ㈜포폴로 | (주) 포폴로에서 주방직원(핏자이올로)를 모십니다. | 8시간 전 등록
