[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:35] INFO - 0079 | ㈜인젠소프트 | [인젠소프트]네트워크 방화벽 구축 및 운영엔지니어 채용(정보통신기술자 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0080 | ㈜화인스텍 | (주)화인스텍 관리팀 신입 채용 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0081 | ㈜인스웨이브 | [경력] PPR (디지털창구, ODS 등) 솔루션/서비스 영업 | 5시간 전 등록
[2025-07-11 06:00:35] INFO - 0082 | （주）태경식품제천공장 | 태경식품 제천공장 생산팀 신입 채용 (계량파트, 공무파트) | 5시간 전 등록
[2025-07-11 06:00:36] INFO - 0083 | ㈜엔디에스 | [농심NDS] 인사운영 신입사원 채용 | 5시간 전 등록
[2025-07-11 06:00:36] INFO - 0084 | ㈜드림텍 | (주)드림텍 2025년 3분기 관리·제조부문 상시 채용 | 5시간 전 등록
[2025-07-11 06:00:36] INFO - 0085 | ㈜미쁨생활건강 | 온라인 쇼핑몰 웹디자이너 모집합니다 | 5시간 전 등록
[2025-07-11 06:00:36] INFO - 0086 | ㈜미쁨생활건강 | 식품제조 공장 HACCP 품질관리 팀장 모집 | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0087 | ㈜드림텍 | (주)드림텍 2025년 3분기 연구·개발부문 상시 채용 | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0088 | 주식회사 하나피아 | 인도네시아 수입식품 시흥 납품 직원 채용 | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0089 | yeppeun skin clinic LLC | 두바이 한국 피부과에서 피부관리사 모집합니다 | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0090 | ㈜에이킴 | 라벨링 중심의 상품관리(2025.11월 이후 고양시 덕양구 향동으로 이전) | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0091 | 한화손해사정㈜ | 전문·접수 심사직 신입사원 채용 | 5시간 전 등록
[2025-07-11 06:00:37] INFO - 0092 | LG디스커버리랩 서울 | LG디스커버리랩 서울, 대학생 Crew 모집 | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0093 | 현대엔지니어링㈜ | 현대엔지니어링 플랜트사업본부 플랜트C&I공사관리 경력직 인재영입 | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0094 | ㈜거림트렌드 | 의류 프로모션 원부자재 발주 ,수출입(경력자 우대) | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0095 | 한우리보호작업장 | 한우리보호작업장 카페늘봄 서초구청점 바리스타 모집 | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0096 | 메타빌드㈜ | [메타빌드] SW개발자 모집 (신입) | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0097 | ㈜ 꽁지삼촌 | 월드마트(난곡점) 매장 정리원 구합니다 | 5시간 전 등록
[2025-07-11 06:00:38] INFO - 0098 | ㈜투에이비에듀 | 정관신도시 어학원 초중등 영어전임강사 구함 | 5시간 전 등록
[2025-07-11 06:00:39] INFO - 0099 | 빌리어네어엔터테인먼트 윤혁 | 틱톡 라이브 방송하실 분 모집 | 5시간 전 등록
[2025-07-11 06:00:39] INFO - 0100 | 까사미아 광주상무중앙점 | 가구판매보조 매장관리 | 6시간 전 등록
[2025-07-11 06:00:39] INFO - ⏱ 3.11초 대기
[2025-07-11 06:00:43] INFO - 
📄 현재 페이지: 3
[2025-07-11 06:00:43] INFO - 0101 | ㈜키스템프 | [판교역/중식제공]중견기업 임원 비서 다수 채용 | 6시간 전 등록
[2025-07-11 06:00:43] INFO - 0102 | 농협생명보험㈜ | [NH농협생명] 경인GA사업국 일반계약직 채용 공고 | 6시간 전 등록
[2025-07-11 06:00:43] INFO - 0103 | ㈜브레인풀 서울지점 | [ 사무직 / JW중외제약 ] 서무 / 행정지원 (월 252만이상/중식제공) | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0104 | ㈜달다곰이 | 프랜차이즈 본사 / 제빵 직원 모집 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0105 | ㈜씨엔케이 | 양말디자이너 모집 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0106 | 에스컴퍼니 | 봄담아 금천구청점 직원(주방, 홀서빙) 채용 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0107 | 엘지물류 | LG전자 가전설치전문기사 채용 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0108 | 알파메디케어 | 의료기기 의료소모품 영업 납품 관리 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0109 | 펭글 | 웹 디자인 구인 | 6시간 전 등록
[2025-07-11 06:00:44] INFO - 0110 | 월디잉글리쉬센터 | 파주운정 성인영어학원 오픽 OPIc 강사 | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0111 | 월디잉글리쉬센터 | 성인영어 기초 회화 강사 모집 (최소 주2회 저녁수업) | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0112 | ㈜뉴런사이언스 | 뉴런사이언스학원(대치동) 상담/행정 직원 모집 공고 | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0113 | 엘리트에듀특목학원 | (화학/물리) 선생님을 모집합니다. | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0114 | 엘리트에듀특목학원 | 중고등 수학선생님을 모집합니다. | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0115 | 인아이미디어엔컴 | INEYEMEDIA에서 함께 일하실 분 모집합니다. | 6시간 전 등록
[2025-07-11 06:00:45] INFO - 0116 | 인베이더스쿨㈜ | [연봉 4200] 인베이더스쿨 CS 담당자 채용 | 6시간 전 등록
[2025-07-11 06:00:46] INFO - 0117 | 육식사관학교 은평대조점 | 육식사관학교 은평대조점 직원 모집 | 6시간 전 등록
[2025-07-11 06:00:46] INFO - 0118 | 에이라운더 | 클린룸 및 기계설비 시공관리 직원 모집 | 6시간 전 등록
