[2025-06-29 06:00:02] INFO - 🔧 Logging initialized
[2025-06-29 06:00:02] INFO - 프로그램 시작됨
[2025-06-29 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-29 06:00:18] INFO - 🔢 총 공고 수: 174000건 → 최대 페이지 수: 3480 페이지
[2025-06-29 06:00:18] INFO - 
📄 현재 페이지: 1
[2025-06-29 06:00:49] INFO - 0149 | 신한라이프생명보험㈜ | 신한라이프 사무보조 채용 | 10시간 전 등록
[2025-06-29 06:00:49] INFO - 0150 | 경희궁튼튼소아청소년과의원 | [마곡튼튼소아청소년과의원] 주사실 간호사(RN) 모십니다. | 10시간 전 등록
[2025-06-29 06:00:49] INFO - ⏱ 2.63초 대기
[2025-06-29 06:00:52] INFO - 
📄 현재 페이지: 4
[2025-06-29 06:00:53] INFO - 0151 | 경희궁튼튼소아청소년과의원 | [마곡튼튼소아청소년과의원] 병동 3교대 간호사(RN) 모십니다. | 10시간 전 등록
[2025-06-29 06:00:53] INFO - 0152 | (주)맨파워코리아 | [광주하남/주5일/초보가능]월270이상가능 물류창고 입출고 관리1 | 10시간 전 등록
[2025-06-29 06:00:53] INFO - 0153 | 케이통운 주식회사 | 인천 물류 센터 관리자 채용 | 10시간 전 등록
[2025-06-29 06:00:53] INFO - 0154 | ㈜구일지엘에스 | 경영지원 사무직원 경력직 채용 | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0155 | ㈜휴머니아 | [부산] 예다함 대형버스 운전기사 모집 | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0156 | 더대청호 | [더대청호] 카페 바리스타 채용 | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0157 | 한진흥업㈜ | 하우스웨딩 라비두스에서 플로리스트직원 구인합니다. | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0158 | 라포엘 의원 | 강남역 라포엘의원 간호조무사 채용(경력우대) | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0159 | ㈜에프지푸드 | 용산아이파크몰 호두과자 매장 [사원급] 채용 | 10시간 전 등록
[2025-06-29 06:00:54] INFO - 0160 | ㈜잇올 | [강동] 잇올 스파르타 센터 운영관리자 채용 | 10시간 전 등록
[2025-06-29 06:00:55] INFO - 0161 | ㈜마인드앳플레이 | [신라모노그램 강릉] `Life is Soft` 아이스크림 샵 매니저 & 크루 모집 | 10시간 전 등록
[2025-06-29 06:00:55] INFO - 0162 | 중앙누수인테리어 | 실내인테리어 현장관리자( 남/녀 신입 및 경력직) 채용합니다. | 10시간 전 등록
[2025-06-29 06:00:55] INFO - 0163 | 네가이 | 신규 베이커리카페에서 바리스타 모집합니다. | 11시간 전 등록
[2025-06-29 06:00:55] INFO - 0164 | 쿄베이커리 | [쿄베이커리x더인피닛카페]에서 바리스타 모집합니다. | 11시간 전 등록
[2025-06-29 06:00:55] INFO - 0165 | 스폿라이트 스튜디오 | 천안 신불당 스폿라이트 스튜디오 사진관 포토그래퍼 직원 채용합니다 | 11시간 전 등록
[2025-06-29 06:00:55] INFO - 0166 | 동화세상에듀코 | 비전마케팅부 둔산 센터 온라인 마케팅 및 영업사원 모집 | 11시간 전 등록
[2025-06-29 06:00:55] INFO - 0167 | 이타미준건축문화재단 | 유동룡미술관 현장 채용(티 라운지,뮤지엄 스토어) | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0168 | 웨스턴 동물의료센터 | [웨스턴동물의료센터] 경영지원실 정규직 사원 모집 | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0169 | 두부러운생활 | 꿈이 있는 파티쉐를 모십니다. | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0170 | ㈜아이앤씨기술 | 서버 및 네트워크 운영 | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0171 | 한국호텔리어협회 | 특급관광호텔&골프장호텔 정규직/ | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0172 | 한국호텔리어협회 | 특급호텔&골프장호텔 호텔리어 정규직 | 11시간 전 등록
[2025-06-29 06:00:56] INFO - 0173 | 대성유리창호㈜ | (건설회사)건축,안전관리자 정규직원 모집 | 11시간 전 등록
