[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:32] INFO - 0082 | 동호에이치알㈜ | [현대건설/중식제공/대기업스펙] 팀 사무행정 상시 모집 | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0083 | 한화손해사정㈜ | 일반직, 전문ㆍ접수 심사직 신입사원 채용 | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0084 | ㈜파인스태프 | [SK렌터카 인천공항지점] 주5일 리셉션(데스크) 모집 | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0085 | 에이스휴먼파워㈜ | [신한카드/영등포/단기미납상담사] 높은급여 / 채권상담 / 콜 경력 우대 | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0086 | ㈜케이티씨에스 | [ktcs 정규직] 농협은행 고객센터 인바운드 상담사 채용 | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0087 | 에이스휴먼파워㈜ | [연 3,400만이상/복지최상]LG전자 B2B온라인영업2팀 사무보조 채용(서울역) | 5시간 전 등록
[2025-07-19 06:00:32] INFO - 0088 | 에이스휴먼파워㈜ | [연 3,400만이상/복지최상]LG전자 구독마케팅1팀 사무보조 채용(서울역) | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0089 | 에이스휴먼파워㈜ | [홍대입구역] 흥국생명 지점 사무직ㅣ청약입력·계약보완·신계약마감 등 | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0090 | ㈜윌앤비전 | 국제선 전화예약센터 정규직 사원 채용/급여인상 예정 | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0091 | ㈜윌앤비전 | ASIANA AIRLINES 국제선예약센터 신입/경력 남,녀모집 | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0092 | ㈜제이앤비컨설팅 | [제이앤비컨설팅] 현대캐피탈 고객지원팀 법인고객 청구/입금 채용 | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0093 | ㈜제이앤비컨설팅 | [J&B컨설팅] 현대캐피탈 고객상담팀 임대해지접수상담 계약직 채용 | 5시간 전 등록
[2025-07-19 06:00:33] INFO - 0094 | 보보스링크 | [정부과천청사역] (주)삼안 회계직 채용 (1년 6개월) | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0095 | ㈜에스이에이치인터내셔널 | [관악구] 여성병원 제대혈 상담 코디네이터 채용 | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0096 | 에이스휴먼파워㈜ | [SPC/월 298만/청담] 퀸즈파크 홀서비스 채용 | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0097 | ㈜동양이엠에스 | [천안 성환읍] 계양전기 구내식당 조리원 채용 (자차소지자) | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0098 | ㈜에스이에이치인터내셔널 | [구미시] 여성병원 제대혈 상담 코디네이터 채용 | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0099 | ㈜웅진 | [월급 250 - 260 / 아웃바운드 / TM] 한의원 정규 매니저 채용 | 5시간 전 등록
[2025-07-19 06:00:34] INFO - 0100 | 리폼연구소 | 싱크대 및 냉장고장리폼 시공팀장 | 6시간 전 등록
[2025-07-19 06:00:34] INFO - ⏱ 2.45초 대기
[2025-07-19 06:00:37] INFO - 
📄 현재 페이지: 3
[2025-07-19 06:00:38] INFO - 0101 | 삼성영어미래엔수학 화곡캠퍼스 | [화곡동]초/중등 수학 선생님 모십니다. | 6시간 전 등록
[2025-07-19 06:00:38] INFO - 0102 | ㈜스페이스재형 | SNS마캐팅을 함께할 팀원을 찾습니다. | 6시간 전 등록
[2025-07-19 06:00:38] INFO - 0103 | 미율한의원 | 학동역 한의원에서 주3일씩 일하실 분을 모십니다 | 7시간 전 등록
[2025-07-19 06:00:38] INFO - 0104 | 이테르 | 이테르 명동 ITER Myrongdong 서비스 팀원 모집 | 7시간 전 등록
[2025-07-19 06:00:38] INFO - 0105 | 유니 성형외과의원 | [유니 성형외과] 코디네이터분 구인 합니다. | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0106 | 케이옵틱스(k-optics) | 캐논 프린터 수리 기술자 모집 | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0107 | 라루나미술학원 | 라루나미술학원 아동미술강사 채용합니다. | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0108 | 대치명인학원 | 대치명인 운정캠퍼스에서 데스크 상담 및 수납,경리 담당 직원 모십니다. | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0109 | 아이비실용음악청라커낼웨이캠퍼스학원 | 아이비뮤직아카데미 청라캠퍼스 운영 실장님 구인 (실용음악학원) | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0110 | 브리팜베이커리 | 개포동 천연발효종 베이커리에서 가족을 모집합니다 | 7시간 전 등록
[2025-07-19 06:00:39] INFO - 0111 | 헤비스테이크 과천중앙점 | (주)헤비스테이크 과천중앙역점 주4일 직원 채용 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0112 | 헤비스테이크 과천중앙점 | (주)헤비스테이크 과천중앙역점 주5일 직원 채용(각종수당, 휴가 별도지급) | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0113 | ㈜모토필 | 제품 출하 (생산) 관리 담당자 구인 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0114 | ㈜축구인 | [콘텐츠 마케터/광고 제휴] 스포츠 생태계를 바꿀 동료 찾습니다 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0115 | 스포애니 상동점 | 스포애니 상동점 헬스장 주말 인포 구인 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0116 | ㈜코아티엠에스 | [장지역] 서울주택도시개발공사 고객센터 인바운드 상담직 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0117 | ㈜에스텍플러스 | [시청역/에스원] 일본어 번역 전문가 채용 | 7시간 전 등록
[2025-07-19 06:00:40] INFO - 0118 | ㈜조인아이티 | 구축/여의도/즉시-26.08/중-고급,반프리/JAVA,WebSquare 등 상세참조/. | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0119 | ㈜바이오바이츠 | (주)바이오바이츠 생물정보분석 연구원 모집 | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0120 | 에스티컴 | 온라인 플랫폼(자사몰) 운영 관리 | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0121 | (주)잇올 | [산본] 잇올 스파르타 센터 운영관리자 채용 | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0122 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0123 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:41] INFO - 0124 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0125 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0126 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0127 | 에스티컴 | 프론트엔드(Frontend) 개발(UI개발)모집(단기 계약직) | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0128 | 중부유통 서울경기지사 | 같이 근무할 배송 직원을 모집합니다. | 8시간 전 등록
