[2025-07-13 06:00:01] INFO - 🔧 Logging initialized
[2025-07-13 06:00:02] INFO - 프로그램 시작됨
[2025-07-13 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-13 06:00:19] INFO - 🔢 총 공고 수: 178427건 → 최대 페이지 수: 3569 페이지
[2025-07-13 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-13 06:00:39] INFO - 0094 | 의료법인 가창의료재단 토탈케어 한방병원 | 피부관리사,물리치료사님 모십니다. | 8시간 전 등록
[2025-07-13 06:00:39] INFO - 0095 | 루드베키아 | 광화문 신규매장 루드베키아 브런치카페 주방 직원 모집 | 8시간 전 등록
[2025-07-13 06:00:39] INFO - 0096 | 루드베키아 | 광화문 신규매장 루드베키아 브런치카페 디저트팀 직원 | 8시간 전 등록
[2025-07-13 06:00:39] INFO - 0097 | 필레터(FILLETER) | 블루 바이 필레터 에서 sous chef 수셰프을 모집합니다 | 9시간 전 등록
[2025-07-13 06:00:39] INFO - 0098 | 캐쥬얼리 | 오프라인셀렉트샵 (캐주얼리) 온라인 팀원 구인 | 9시간 전 등록
[2025-07-13 06:00:39] INFO - 0099 | ㈜와이에이그룹 | (주)와이에이그룹 TM 관리자 채용 | 9시간 전 등록
[2025-07-13 06:00:39] INFO - 0100 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 9시간 전 등록
[2025-07-13 06:00:39] INFO - ⏱ 1.99초 대기
[2025-07-13 06:00:42] INFO - 
📄 현재 페이지: 3
[2025-07-13 06:00:42] INFO - 0101 | 더큰-터(THE큰-터) | THE큰-터제빵소에서 함께 나아갈 매장직원을 모십니다. | 9시간 전 등록
[2025-07-13 06:00:42] INFO - 0102 | 홍대구루메&텐큐 | 홍대구루메 주방, 홀서빙 알바, 5,6일 정직원 구합니다. | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0103 | 시그마세븐 | [초보 가능] 일본어 녹음 샘플 제출자 모집 | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0104 | ㈜미포집명동 | 미포집 롯데 명동점에서 파트타임 직원을 구합니다. | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0105 | ㈜미포집명동 | 롯데백화점 미포집 명동점에서 파트타임 직원을 구합니다. | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0106 | ㈜단해 | (주)단해 온라인 MD 사원 모집 | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0107 | 베이비파스텔 | 사진을 배우고 싶고 작가가 꿈인 아기를 좋아하시는 신입 환영합니다 | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0108 | 다온로직스 | 물류 CS 응대 및 단순 정산 | 9시간 전 등록
[2025-07-13 06:00:43] INFO - 0109 | 일신스카이 | 스카이장비 기사님 모십니다. (신입/경력) | 9시간 전 등록
[2025-07-13 06:00:44] INFO - 0110 | 하늘창호 | 하늘창호 샷시시공 직원 채용 | 9시간 전 등록
[2025-07-13 06:00:44] INFO - 0111 | 비켈드 | 용산 이탈리아 레스토랑 viqueld 주방직원 모집합니다 | 9시간 전 등록
[2025-07-13 06:00:44] INFO - 0112 | 스킨랩엘이촌점 | 경력파트 센터장 구인공고 | 9시간 전 등록
[2025-07-13 06:00:44] INFO - 0113 | 베이커스딜라이트 | 인천가좌 (주)베이커스딜라이트 디저트 생산 직원 모집 | 9시간 전 등록
[2025-07-13 06:00:44] INFO - 0114 | ㈜아라온 | 리조트의 공간 디자인 및 인테리어 디자인 업무 | 10시간 전 등록
[2025-07-13 06:00:44] INFO - 0115 | 굿모닝 | 결혼정보 커플매니저 높은연봉 (대전 유성) | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0116 | 주식회사오비에프앤비 | [오베이글 하우스] 베이커리부문 Staff 모집 | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0117 | 라움아네스 | 순천 아네스 웨딩컨벤션 파티플래너 | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0118 | 모모야 아이파크몰 고척점 | 모모야 고척아이파크몰 주방직원모집합니다./주45 월240 | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0119 | ㈜대련전업사 | 전기/통신 자재 배송 및 관리 | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0120 | ㈜더파티움 | 주말아르바이트(예약상담보조) | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0121 | 디앤에이 어학원 | [2동탄] 영어유치부 내국인 선생님 모집 | 10시간 전 등록
[2025-07-13 06:00:45] INFO - 0122 | 투어프로 | 해외골프 업무 팀장급 (영어 필수) | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0123 | 하일로 | 압구정 도산공원 Bar 하일로에서 신입 직원을 구합니다. | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0124 | 익스클루시브 | 중국인 마케터 구해요, 샤오홍슈 마케팅 해보신분 구해요 잘해드려용 | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0125 | ㈜리치골든파트너 | 보험총무 구합니다. | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0126 | 웨스턴 동물의료센터 | [웨스턴동물의료센터] 임상병리사 채용/임상병리 검사, 기기관리 | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0127 | 하이엔드 성형외과 의원 | [하이엔드 성형외과] 마케팅팀원 모집합니다(경력직우대) | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0128 | 카페윤(CAFE YOON) | 카페윤 정직원(매니저)를 모집합니다... | 10시간 전 등록
[2025-07-13 06:00:46] INFO - 0129 | ㈜올에프엔비 | [매장]족발야시장 본사 점장채용 | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0130 | ㈜한성이앤씨 | 소방안전관리 점검원 1명 모십니다. | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0131 | 브로드웨이뮤지컬센터학원 | 브로드웨이뮤지컬센터 [강남점] 연기 강사 모집합니다. | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0132 | 헤베커피(hebe coffee) | [헤베커피] 온라인 MD 채용 | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0133 | 카페 리핑(Cafe Leaping) | 신동카페거리 카페리핑 2호점 직원(사원급) 모집 | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0134 | 토스인슈어런스㈜ | 토스인슈어런스 직영 보험설계사 채용 | 10시간 전 등록
[2025-07-13 06:00:47] INFO - 0135 | ㈜노바에이스엠 | 중국어 영상 편집/제작 업무 계약직 채용(F비자 환영) | 11시간 전 등록
