[2025-07-20 06:00:01] INFO - 🔧 Logging initialized
[2025-07-20 06:00:02] INFO - 프로그램 시작됨
[2025-07-20 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-20 06:00:20] INFO - 🔢 총 공고 수: 177882건 → 최대 페이지 수: 3558 페이지
[2025-07-20 06:00:20] INFO - 
📄 현재 페이지: 1
[2025-07-20 06:00:45] INFO - 0115 | 한국에머슨㈜ | Service Resident Engineer | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0116 | ㈜원탑스튜디오 | 상품이미지 누끼촬영 및 보정 | 8시간 전 등록
[2025-07-20 06:00:45] INFO - 0117 | 스시현 | 하남 스시현/우나기현에서 직원을 모집합니다. | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0118 | 스시현 | 하남 스시현에서 직원과 알바생을 모집합니다. | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0119 | 스시현 | 우나기현에서 직원을 모집합니다. | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0120 | 프라임에셋㈜ | 부산 보험회사 고퀄DB매달지원/온라인마케팅영업 /자체DB생성노하우전수 | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0121 | 도담 더올림 입시학원 | 중등관 영어 선생님을 모십니다(세종시 최고 대우/즐거운 근무분위기 보장) | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0122 | ㈜오픈에스티 | 공영홈쇼핑 클라우드 -품질관리 QA | 8시간 전 등록
[2025-07-20 06:00:46] INFO - 0123 | 쿠팡풀필먼트서비스 유한회사 | [정규직 모집]쿠팡 경기광주3센터 현장관리자(Team Captain) | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0124 | 빈스페이스디자인(binnspace design) | [빈스페이스디자인] 주거 인테리어 현장팀원 채용 | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0125 | ㈜오픈에스티 | 금융권(증권사) 차세대 개발자 구함(여의도) | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0126 | 프라임에셋㈜ | 부산 보험GA회사 무상DB지원받고 온라인영업배우고 수수료최대혜택까지받자 | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0127 | 프라임에셋㈜ | 부산보험설계사 무상DB지원받고 온라인영업까지 할수있는곳 | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0128 | 에 오 마르 (E O MAR) | 바리스타 구함(에오마르 베이커리 카페) | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0129 | ㈜제이에이치지에프앤비 | 이탈리안 레스토랑 Vangundy 홀직원 모집 (주) JHG FnB . | 8시간 전 등록
[2025-07-20 06:00:47] INFO - 0130 | 온에어pc방한라대점 | 아이센스리그PC방 제주 한라대점 점장&매니저 모집 | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0131 | 가보나라 | 온라인 철물점 쇼핑몰포장 관리직 | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0132 | ㈜에이제이인터내셔널 | 테니스메트로 온라인 MD 경력 채용 (주임/대리) | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0133 | ㈜한정선 | 한정선 [디저트/카페] 수도권(서울) 직영점 점장 / 매니저 / 직원 채용 | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0134 | 제이에이치콜 | [제이에이치콜] 마케팅 기획자 모집 | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0135 | 반디파스타 | [주5일] 제주 파스타전문점에서 홀직원, 홀주방직원 모십니다 | 9시간 전 등록
[2025-07-20 06:00:48] INFO - 0136 | 올웨이즈어거스트 제작소 | 올웨이즈어거스트 정규직 베이커 채용 합니다 | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0137 | ㈜가치정보기술 | SK 하이닉스 반도체 안전진단 시스템 리뉴얼 | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0138 | 픽업 | 픽업에서 빵포장 하실 직원분 구합다 | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0139 | ㈜코스탯신소재 | 능력있는 반도체 관련 기술영업 사우 모집 (경력우대) | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0140 | 척척바이오랩㈜ | 홈쇼핑MD 채용 | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0141 | 24시글로리동물병원 | [24시글로리동물병원] 주간 수의테크니션 선생님 신입 / 경력직 채용 | 9시간 전 등록
[2025-07-20 06:00:49] INFO - 0142 | ㈜에그팜 | 에그팜 프랜차이즈 가맹사업팀(가맹점영업팀) 채용공고 | 9시간 전 등록
