[2025-07-27 06:00:01] INFO - 🔧 Logging initialized
[2025-07-27 06:00:03] INFO - Loading faiss.
[2025-07-27 06:00:03] INFO - Successfully loaded faiss.
[2025-07-27 06:00:03] INFO - Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
[2025-07-27 06:00:03] INFO - 프로그램 시작됨
[2025-07-27 06:00:03] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-27 06:00:21] INFO - 🔢 총 공고 수: 178065건 → 최대 페이지 수: 3562 페이지
[2025-07-27 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-27 06:00:50] INFO - 0101 | 뮤엠영어학원 | 기장 정관 뮤엠영어학원 1호점 - 초,중등 영어 강사님 모집합니다:) | 9시간 전 등록
[2025-07-27 06:00:50] INFO - 0102 | ㈜에이치앤엠 | [강남구/논현동] LG데이터센터 시스템관제 운영직원 채용 | 9시간 전 등록
[2025-07-27 06:00:50] INFO - 0103 | ㈜포이드캐롯 | [청주 포이드캐롯] 베이커리카페 매장직원 채용 | 9시간 전 등록
[2025-07-27 06:00:51] INFO - 0104 | 오토샤이닝 동탄점 | 서울 강북구 미아사거리 역사 스팀세차장 직원 채용 (신입 및 경력) | 9시간 전 등록
[2025-07-27 06:00:51] INFO - 0105 | 에듀플러스㈜ | 에듀플러스(주) 국비지원 교육상담 & 학습관리 담당자 채용 | 9시간 전 등록
[2025-07-27 06:00:51] INFO - 0106 | 도산뚝배기 | 논현동 도산뚝배기 주방 직원 신입/경력 모집 | 9시간 전 등록
[2025-07-27 06:00:51] INFO - 0107 | ㈜경보 | [유지커피웍스]제주 카페 주말 직원 모집합니다 | 9시간 전 등록
[2025-07-27 06:00:51] INFO - 0108 | ㈜경보 | [제주도카페] 유지커피웍스 평일 마감 바리스타 모집 | 9시간 전 등록
[2025-07-27 06:00:52] INFO - 0109 | 더스테이호텔 | [ 명동 더 스테이 호텔 ] 프론트 채용 (야간) | 9시간 전 등록
[2025-07-27 06:00:52] INFO - 0110 | 칸디앤씨 | 1군건설사 전문 분양회사 | 9시간 전 등록
[2025-07-27 06:00:52] INFO - 0111 | 칸디앤씨 | 시행사 직영1군 직영대행사 분양텔레마케터 모집 | 9시간 전 등록
[2025-07-27 06:00:52] INFO - 0112 | 디바인뷰티 | 디바인왁싱 왁서, 왁싱 프리랜서 모집합니다. | 9시간 전 등록
[2025-07-27 06:00:52] INFO - 0113 | 보타니스트 | 제과제빵사 | 9시간 전 등록
[2025-07-27 06:00:53] INFO - 0114 | 국민대학교 | [국민대학교] TEAM교육인증센터 계약직원 모집 | 9시간 전 등록
[2025-07-27 06:00:53] INFO - 0115 | 의료법인 서울효천의료재단 에이치플러스 양지병원 | 병동간호팀 보조원 모집 | 9시간 전 등록
[2025-07-27 06:00:53] INFO - 0116 | ㈜리사르커피 | [리사르커피] 구의점 정규직 채용 | 9시간 전 등록
[2025-07-27 06:00:53] INFO - 0117 | ㈜참진상사 | 배송 및 거래처관리, 창고/재고관리업무 | 9시간 전 등록
[2025-07-27 06:00:53] INFO - 0118 | ㈜참진상사 | 오픈마켓 쇼핑몰 운영경력자 모집 | 9시간 전 등록
[2025-07-27 06:00:54] INFO - 0119 | 지웰중국어학원 | 주중 및 주말 중국어선생님 채용(유연근무) | 9시간 전 등록
[2025-07-27 06:00:54] INFO - 0120 | 아시아랩 | 글로벌 전략 및 크리에이티브 매니저 | 9시간 전 등록
[2025-07-27 06:00:54] INFO - 0121 | ㈜케이씨엠에스 | 인덕원 또는 선릉역 저축은행 이미지시스템고도화 개발 (k02) | 9시간 전 등록
[2025-07-27 06:00:54] INFO - 0122 | ㈜뉴비즈원 | [주5일/정규직] DJI 수도권 영업관리자 경력 채용 | 9시간 전 등록
[2025-07-27 06:00:54] INFO - 0123 | ㈜이랜드이츠 애슐리퀸즈 롯데백화점 | (주)이랜드이츠 외식 예비관리자 HIT 채용(애슐리퀸즈 롯데백화점 대구점) | 10시간 전 등록
[2025-07-27 06:00:55] INFO - 0124 | 코딩코딩 | [초보자 가능] 유치원/어린이집 성남,위례,광주 유아코딩(로봇) 강사 모집 | 10시간 전 등록
[2025-07-27 06:00:55] INFO - 0125 | 부동산직방114 | [텔레마케팅] 특1군건설사 특채 분양 홍보관 모델하우스 분양홍보실 (선착 | 10시간 전 등록
[2025-07-27 06:00:55] INFO - 0126 | 부동산직방114 | 시행사 직영 대우 현대 건설 현장 특채 모델하우스 분양 텔레마케터 [성별, | 10시간 전 등록
[2025-07-27 06:00:55] INFO - 0127 | 싶빵공장 | 페이스트리 전문 베이커리 싶빵공장 청주터미널점 제빵사 모집 | 10시간 전 등록
[2025-07-27 06:00:55] INFO - 0128 | 프라임에셋㈜ | [서울가산] 프라임에셋 보험 대리점 보험설계사 신입&경력 모집합니다 | 10시간 전 등록
[2025-07-27 06:00:56] INFO - 0129 | 카페 델라고 | [신규 오픈한 카페 델라고] 에서 함께 성장하실 바리스타님을 모십니다. | 10시간 전 등록
[2025-07-27 06:00:56] INFO - 0130 | 런던그라운드 | 대형베이커리카페 런던그라운드 베이커리 부서에서 팀원을 모집합니다. | 10시간 전 등록
[2025-07-27 06:00:56] INFO - 0131 | 맘스터치 전포점 | 맘스터치전포점 주말 오후 주방직원 구합니다 (4시-10시) | 10시간 전 등록
[2025-07-27 06:00:56] INFO - 0132 | 베이커리 이씨네빵집 | 이씨네빵집 성신여대점에서 제과제빵생산직원을 모집합니다(주5일제 근무) | 10시간 전 등록
[2025-07-27 06:00:57] INFO - 0133 | 서무결베이커리 | [월250만] 제과제빵사 신입 및 경력 정직원 모집 | 10시간 전 등록
[2025-07-27 06:00:57] INFO - 0134 | ㈜동북엘앤알 춘천점 | 플러스마트 춘천점 즉석푸드팀 경력 및 신입 모집 | 10시간 전 등록
[2025-07-27 06:00:57] INFO - 0135 | 금송덕미 | 02 `덕미 해운대 해리단길점 `02 에서 함께 할 팀원을 모집합니다 | 10시간 전 등록
[2025-07-27 06:00:57] INFO - 0136 | ADGC Inc | SEO Specialist 재택근무 | 10시간 전 등록
[2025-07-27 06:00:58] INFO - 0137 | ADGC Inc | 모션그래픽 디자이너 ai영상 접목가능하신 분 (재택근무) | 10시간 전 등록
[2025-07-27 06:00:58] INFO - 0138 | 더웨이위드유 | 카페 더웨이위드유 바리스타 정직원 채용합니다 | 10시간 전 등록
[2025-07-27 06:00:58] INFO - 0139 | (유)펠릭스킴앤레기진 | [베이커리 카페] 매니저/ 점장급 모집,월9회 휴무(연차포함) | 10시간 전 등록
[2025-07-27 06:00:58] INFO - 0140 | 보핀 | 핸드메이드 주얼리 브랜드 AMD / 마케터 모집 | 10시간 전 등록
[2025-07-27 06:00:58] INFO - 0141 | 바이브성형외과의원 | [강남/신논현역] 바이브성형외과 코디네이터 인재 채용 | 10시간 전 등록
[2025-07-27 06:00:59] INFO - 0142 | 서가앤쿡 청주 율량점 | 서가앤쿡 청주 율량점 주방직원 모집합니다. | 10시간 전 등록
[2025-07-27 06:00:59] INFO - 0143 | 보핀 | 패션 브랜드 온라인 MD/BM 총괄 (아동복/성인복/반려동물의류) | 10시간 전 등록
[2025-07-27 06:00:59] INFO - 0144 | 보핀 | 아동복 온라인 쇼핑몰 물류 관리직 모집 | 11시간 전 등록
[2025-07-27 06:00:59] INFO - 0145 | 봄날북한산요양원 | 2025년 봄날북한산요양원 회계담당 사회복지사 모집 공고 | 11시간 전 등록
[2025-07-27 06:00:59] INFO - 0146 | 치유성형외과의원 | [치유성형외과] 기획, 디자인 업무 , 동영상 촬영 및 제작, | 11시간 전 등록
[2025-07-27 06:01:00] INFO - 0147 | ㈜대덕파트너스 | [주5일/월250만] 동탄 외국계연구소 사무보조 계약직모집 | 11시간 전 등록
[2025-07-27 06:01:00] INFO - 0148 | 스노우폭스브랜딩컴퍼니 | 스노우폭스플라워 꽃,분화, 부자재 배송기사님 모집(주간근무) | 11시간 전 등록
[2025-07-27 06:01:00] INFO - 0149 | 디자인미래 | 디자인안내판 온라인 접수(CS) 및 디자인 | 11시간 전 등록
[2025-07-27 06:01:00] INFO - 0150 | 치유성형외과의원 | 대환영 수술실 간호조무사 모집합니다 /신사역1번출구/경력우대 | 11시간 전 등록
[2025-07-27 06:01:00] INFO - ⏱ 2.40초 대기
[2025-07-27 06:01:03] INFO - 
📄 현재 페이지: 4
[2025-07-27 06:01:04] INFO - 0151 | 치유성형외과의원 | 최고우대수술실 간호조무사 모집합니다 /신사역1번출구/경력우대 | 11시간 전 등록
[2025-07-27 06:01:04] INFO - 0152 | ㈜해피버스데이 | 돌잔치,행사 (뷔페) 고객 상담 및 예약 관리 | 11시간 전 등록
[2025-07-27 06:01:04] INFO - 0153 | (주)올바론에듀 | [광주, 남구] 국어고등 강사모집 | 11시간 전 등록
[2025-07-27 06:01:04] INFO - 0154 | (주)올바론에듀 | [광주, 남구] 영어고등 강사모집 | 11시간 전 등록
[2025-07-27 06:01:05] INFO - 0155 | (주)올바론에듀 | [광주, 남구] 영어중등 강사모집 | 11시간 전 등록
[2025-07-27 06:01:05] INFO - 0156 | 디자인미래 | 디자인 안내판 제품개발 및 상세페이지 , 블로그 및 인스타 업로드 | 11시간 전 등록
[2025-07-27 06:01:05] INFO - 0157 | 훌륭성형외과 | 신입기준[월300이상]수술실 간호조무사 충원합니다(주5일) | 11시간 전 등록
[2025-07-27 06:01:05] INFO - 0158 | 대신정보통신㈜ | (대구센터) 정보시스템 운영 유지 관리사업 함께하실 분 모십니다. | 11시간 전 등록
