[2025-07-05 06:00:02] INFO - 🔧 Logging initialized
[2025-07-05 06:00:02] INFO - 프로그램 시작됨
[2025-07-05 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-05 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-05 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-05 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-05 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-05 06:01:26] INFO - 🔢 총 공고 수: 179704건 → 최대 페이지 수: 3595 페이지
[2025-07-05 06:01:26] INFO - 
📄 현재 페이지: 1
[2025-07-05 06:01:53] INFO - 0124 | ㈜브랜드건축가 | `끼` 많은 SNS 마케터 공개채용 | 6시간 전 등록
[2025-07-05 06:01:53] INFO - 0125 | 팩더널드 | 도매택 의류 브랜드 쇼핑몰 팀원/쇼핑몰 MD/쇼핑몰 AMD 공채 | 6시간 전 등록
[2025-07-05 06:01:53] INFO - 0126 | ㈜엑스퍼트 | 대기업 ERP 자료입력 사무직원 채용 | 7시간 전 등록
[2025-07-05 06:01:53] INFO - 0127 | ㈜대서(롯데백화점 동탄점) | 연남토마 롯데백화점 동탄점 주방직원 모집합니다. | 8시간 전 등록
[2025-07-05 06:01:53] INFO - 0128 | 조인아이티 | 개발/여의도/즉시-11.30(연장가능있슴)/중급2명,고급1명/자격 등 상세참조/ | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0129 | 로프베이커리앤커피 | 새로운 로프베이커리앤커피에서 바리스타분 모십니다. | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0130 | 스윔슐레 세종캠퍼스 | [세종시 어린이수영장] 데스크 매니저 채용합니다 | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0131 | 경영코리아 | 경영자문회사 사무직 구인 (하남 미사역) | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0132 | ㈜프라이머스 | 광고 AE 대 모집 | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0133 | (주)인어스필라테스 신흥역점 | (주)인어스필라테스 25년 하반기 지점관리자 채용(총괄실장, CS매니저) | 8시간 전 등록
[2025-07-05 06:01:54] INFO - 0134 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0135 | ㈜비커밍 | 인테리어 디자인/설계/시공 경력직 채용 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0136 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0137 | 주식회사 수석대구경북 | LG 에스엠네트웍스 대구지점 개통실 직원 모집합니다 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0138 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0139 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0140 | 원씨드(WON SEED) | 농업의 발전을 위해 함께 하실분 모십니다 | 8시간 전 등록
[2025-07-05 06:01:55] INFO - 0141 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-05 06:01:56] INFO - 0142 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-05 06:01:56] INFO - 0143 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
