[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:01:07] INFO - 0059 | 에이스휴먼파워㈜ | [LG이노텍 / 구미공장] 스마트폰 부품 검사·제조 채용/7월 순차 입사 | 5시간 전 등록
[2025-06-28 06:01:07] INFO - 0060 | ㈜에프앤씨시스템 | 포천시 몽베르 CC [신입 / 경력] 조리사 모집 [기숙사 0] | 5시간 전 등록
[2025-06-28 06:01:07] INFO - 0061 | 에이스휴먼파워㈜ | [기숙사(월3만) / 주야간 교대] LG이노텍 구미공장 / 7월부터 순차입사 | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0062 | 메타넷디지털㈜ | [메타넷디지털] 데이터센터 관제(OP)운영 인력채용 (서울 상암동) | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0063 | ㈜엠제이플렉스 | [판교/복지우수/자체직 전환가능성 有] 카카오엔터테인먼트 임원비서 채용 | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0064 | 리드커리어 주식회사 | [카카오스타일]ZIGZAG 소호패션 AMD 채용 (식대별도/재택병행/연3000) | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0065 | ㈜아람인테크 | [조식/중식 선택지원] 우주일렉트로닉스 화성공장 조리사 / 찬모 채용 | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0066 | ㈜제니엘 | [신입가능/주5일] 메이크업 뷰티 브랜드 에스쁘아 연남 주니어 채용 | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0067 | ㈜엠제이플렉스 | [YTN/월243만/신입가능] Youtube 라이브 제작/썸네일/콘텐츠/뉴스 채용 | 5시간 전 등록
[2025-06-28 06:01:08] INFO - 0068 | 씨엔티테크㈜ | 씨엔티테크(주) 스타트업 액셀러레이터 모집 (AC11팀) | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0069 | 보보스링크㈜ | [부산/오픈매장] 프라다 뷰티 경력직 채용 (매니저 / 시니어) | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0070 | ㈜동양이엠에스 | [잠실/4시간,6시간,8시간선택] 잠실역 인근 구내식당(조리보조, 홀,세척) | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0071 | ㈜호텔신라 | (주)호텔신라 마케팅부서 CS직무 서비스크루 모집 | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0072 | 피엔에이링크 | [ELCA 그룹 뷰티허브] 신세계 여주 프리미엄 아울렛 화장품 직원 채용 | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0073 | 피엔에이링크 | [AVEDA 아베다] ELCA 뷰티그룹 백화점 헤어케어 화장품 매장 직원 채용 | 5시간 전 등록
[2025-06-28 06:01:09] INFO - 0074 | 트랜스코스모스코리아 | [신규오픈] iM라이프생명 청약센터 서류검수, 문의응대 ZSs7 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0075 | 르노코리아 병점대리점 | [초기정착금지원] 르노코리아 병점전시장 신입,경력 영업사원을 모집합니다 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0076 | 애드민 | [도곡/주5일] 미국식 패밀리 레스토랑 홀서빙, 주방보조 채용중 | 5시간 전 등록
