[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:41] INFO - 0054 | 하나머티리얼즈㈜ | 하나머티리얼즈 경력 모집 | 5시간 전 등록
[2025-07-18 06:01:41] INFO - 0055 | 피엔에이링크 | [신도림/정착지원금/중식제공] 서울페이 단순 인바운드 상담원 채용 | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0056 | 쿠팡로지스틱스서비스 | [쿠팡CLS] 채용담당자 모집 (신입 l 정규직 전환 가능) | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0057 | 동호에이치알㈜ | [대기업/삼성역] 현대자동차 계열사內 IT총무사무 인재 채용 | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0058 | ㈜에스이에이치인터내셔널 | [쥬비스 광주광천점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0059 | ㈜엠제이플렉스 | [월290/여의도] KBS `다큐 인사이트` 다큐 FD 채용 | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0060 | 쿠팡풀필먼트서비스 유한회사 | [CFS] 쿠팡 인천/경기지역 물류 현장관리자 정규직 채용(신입/경력) | 5시간 전 등록
[2025-07-18 06:01:42] INFO - 0061 | 보보스링크㈜ | [합정역] KB손해사정사 사무보조 인원 구인 | 5시간 전 등록
[2025-07-18 06:01:43] INFO - 0062 | 트랜스코스모스코리아 | [부산/숏폼보기] SNS 숏폼 영상컨텐츠 분류 모니터링 (주간로테이션) ZKp9 | 5시간 전 등록
[2025-07-18 06:01:43] INFO - 0063 | ㈜지원 | 이천/방충망/단순업무/기숙사무료/가불가능/워라벨/주간고정 | 5시간 전 등록
