[2025-07-02 06:00:01] INFO - 🔧 Logging initialized
[2025-07-02 06:00:01] INFO - 프로그램 시작됨
[2025-07-02 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-02 06:00:15] INFO - 🔢 총 공고 수: 170585건 → 최대 페이지 수: 3412 페이지
[2025-07-02 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-02 06:00:41] INFO - 0115 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0116 | 동신피앤피㈜ | 본사설계직 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0117 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용 | 8시간 전 등록
[2025-07-02 06:00:41] INFO - 0118 | ㈜이지스가드 | [송도동]야간 격일 근무 경비원 모집 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0119 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0120 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0121 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0122 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0123 | ㈜이지스가드 | [송도동]소방안전관리 및 경비원 모집 | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0124 | ㈜케이씨엠에스 | 을지로 SKT 클라우드 차세대 대응 (t08) | 8시간 전 등록
[2025-07-02 06:00:42] INFO - 0125 | 대한상공회의소인천인력개발원 | [대한상공회의소 인천인력개발원] 행정담당 채용 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0126 | 코딩코딩 | [초보자 가능] 유치원/어린이집 수원, 용인, 화성 유아코딩 강사 모집 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0127 | 에이아이에이프리미어파트너스㈜ | [범어동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0128 | 에이아이에이프리미어파트너스㈜ | [연산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0129 | 에이아이에이프리미어파트너스㈜ | [다산동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0130 | 프라임에셋 | 병원인하우스 근무하실분 모집/ 경단녀.투잡가능/ 온라인영업 가능 | 8시간 전 등록
[2025-07-02 06:00:43] INFO - 0131 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0132 | 광화문미소 | [서래미소 광화문점]한우 육부장님 모십니다.(쉬는시간 3시간) | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0133 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0134 | ㈜유컴스 | 여행사 렌트카 예약실(영어 필수) 사원 모집 | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0135 | ㈜제주왕 | 여행사 렌트카 예약실 사원 모집 | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0136 | 신일특수금속 | (해외마케팅/무역사무/용인기흥) 함께 하실 분을 모십니다. | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0137 | ㈜휴넷 | [휴넷] B2B기업교육운영 담당 [정규직/경력] | 8시간 전 등록
[2025-07-02 06:00:44] INFO - 0138 | ㈜하이렌터카 | [하이렌터카] 김포공항지점 배반차 사원 채용 | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0139 | ㈜대건종합특송 | (주) 대건종합특송 운송운영팀 (접수/배차) 정규직 모집 | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0140 | ㈜오픈테크 | React , 닷넷 중급 개발자 모집 | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0141 | 베지야(vegie-ya) | 샌드위치 & 샐러드 맛집에서 주방스탭을 찾습니다.(제빵경력자 우대) | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0142 | ㈜더 시사법률 | 더시사법률 인 디자이너 정규직 모집 | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0143 | ㈜유앤미시스템 | 케이스퀘어 가산 idc센터 시설관리 직원(교대조) 채용 | 8시간 전 등록
[2025-07-02 06:00:45] INFO - 0144 | 폰찾사 | LG 유플러스 정직원구함(경력자구함) | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0145 | 롤링핀진주혁신도시점 | 베이커리카페 롤링핀진주혁신도시점 제빵사 채용(계약직) | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0146 | 에이럭스 | [에이럭스] 교육 기자재 관리 및 기술 지원 | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0147 | 세무회계바를정 | [세무회계바를정] 세무회계사무소 근무 경력직원 채용(선유도역) | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0148 | 환그라스 | 함께일할 사무직 직원을 구합니다 | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0149 | (의)아노의료재단 | 에덴요양병원 원무과 담당자님을 모십니다. | 8시간 전 등록
[2025-07-02 06:00:46] INFO - 0150 | 톡톡 잉글리쉬 | 중등 전임 영어 선생님 모십니다. | 8시간 전 등록
[2025-07-02 06:00:46] INFO - ⏱ 1.91초 대기
[2025-07-02 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-07-02 06:00:49] INFO - 0151 | ㈜하이워터 | 사이버펑크 오컬트 바 [하이워터] 바텐더 아르바이트 | 8시간 전 등록
[2025-07-02 06:00:49] INFO - 0152 | 손샘영어칠곡외국어학원 | [손샘영어 칠곡원] 전임 영어강사님 모십니다(정규직) | 8시간 전 등록
[2025-07-02 06:00:49] INFO - 0153 | 퍼스투스 | 신사역 피부과다이어트병원 MSO 기업 콜센터 경력자(팀장) | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0154 | 퍼스투스 | 신사역 국내병원마케팅 총괄 피부과,다이어트병원 | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0155 | 담온 | 추어탕 식품 제조 공장 생산직 모집합니다. | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0156 | 삼성화재해상보험㈜ | 경기 평택 안중지역 삼성화재 보험설계사 모집(안중 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0157 | 삼성화재해상보험㈜ | 평택 송탄지역 삼성화재 보험설계사 모집(송탄 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0158 | 삼성화재해상보험㈜ | 경기 안성지역 삼성화재 보험설계사 모집(안성 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0159 | 삼성화재해상보험㈜ | 평택 삼성화재 보험설계사 모집(평택 보험설계사) | 8시간 전 등록
[2025-07-02 06:00:50] INFO - 0160 | 어넥스 | 양주 백석 사무실 직원모집/경력단절 주부 초보가능 | 8시간 전 등록
[2025-07-02 06:00:51] INFO - 0161 | 삼성화재해상보험㈜ | 삼성화재 서울 강서지역 보험설계사 모집(강서 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:51] INFO - 0162 | 삼성화재해상보험㈜ | 삼성화재 서울 영등포지역 보험설계사 모집(영등포 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:51] INFO - 0163 | 삼성화재해상보험㈜ | 삼성화재 서울 구로구/금천구 보험설계사 모집(구로/금천 보험설계사 모집) | 8시간 전 등록
[2025-07-02 06:00:51] INFO - 0164 | 삼성화재해상보험㈜ | 삼성화재 서울 양천구 보험설계사 모집(양천 보험설계사 모집) | 8시간 전 등록
