[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:33] INFO - 0089 | 에스엠케이 | 시화 PCB BBT 전자회로검사 양산 샘플 수입출하 사원모집[기숙사/통근버스] | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0090 | 다원코리아 | [수원,화성지역] KB라이프 청약 매니저 모집/ 전산설계지원 사무직 업무 | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0091 | 에스엠케이 | 안산 삼성·LG·애플 1차협력사PCB 제조 설비OP 사원모집[기숙사/통근버스] | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0092 | 다원코리아 | [안산,군포지역/경력자모집] KB라이프 청약매니저 (전산설계업무 사무직) | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0093 | 동호에이치알㈜ | [기본283/수당/부산] 현대카드 X 코스트코 부산점 부스직원 인재 채용 | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0094 | 에이스휴먼파워㈜ | [은행원] 하나은행 테헤란로지점 텔러 채용 | 5시간 전 등록
[2025-06-26 06:00:33] INFO - 0095 | 에스엠케이 | 반월공단 HPCB cnc드릴,출하,설비OP 3조2교대 기숙사/시급협의/교통비지원 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - 0096 | 에스엠케이 | Hpcb 1차협력사(삼성,애플)간단업무 상여지급/ 정착지원금지급/기숙사/통근 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - 0097 | 에스엠케이 | BBT전자회로검사 남녀사원모집(시화공단) 간단업무/기숙사/상여지급 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - 0098 | ㈜케이티씨에스 | [정규직/단순업무] kt계열사 / 대기업 소속 대표번호 인바운드 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - 0099 | ㈜와이에스생명과학 | ㈜YS생명과학 기술지원팀 채용 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - 0100 | ㈜케이티씨에스 | [정규직/용산역] kt계열사 소속 대표번호 청구 인바운드 상담사 채용 | 5시간 전 등록
[2025-06-26 06:00:34] INFO - ⏱ 2.29초 대기
[2025-06-26 06:00:37] INFO - 
📄 현재 페이지: 3
[2025-06-26 06:00:37] INFO - 0101 | 엘비휴넷㈜ | 18시이후 4시간 채용/7월1일입사 LG유플러스 전주고객센터/교통비별도 | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0102 | 엘비휴넷㈜ | 7월8일 첫출근 LG유플러스 전주고객센터 인원모집(익산,군산셔틀) | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0103 | DB생명보험㈜ | [DB생명] 계약운영 기획, 상품개발 채용 | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0104 | 에이스휴먼파워㈜ | [성수/연2800/정규직전환] 고객 관련 게시판관리/응대-고객문제해결팀 채용 | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0105 | 에이스휴먼파워㈜ | [부천/런드리24/연2800] 고객/점주-콜/채팅상담 사업운영팀 팀원 채용 | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0106 | 에이스휴먼파워㈜ | [연3200만/군포] 런드리고 야간 긴급 채용 /단순/식사O/정규직전환 | 5시간 전 등록
[2025-06-26 06:00:38] INFO - 0107 | 한국특허정보원 | 2025년 2차 한국특허정보원 직원 채용 | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0108 | ㈜선정인터내셔날 | [김해공항/정규직/식사제공] 승객 수하물 분류업무 (단순업무/초보가능) | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0109 | ㈜컴투스 | [서머너즈워 차기 RPG 프로젝트] 전 부문 채용 | 5시간 전 등록
