[2025-07-09 06:00:01] INFO - 🔧 Logging initialized
[2025-07-09 06:00:02] INFO - 프로그램 시작됨
[2025-07-09 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-09 06:00:15] INFO - 🔢 총 공고 수: 179946건 → 최대 페이지 수: 3599 페이지
[2025-07-09 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-09 06:00:31] INFO - 0075 | 트랜스코스모스코리아 | [일본어/전화X] 오호라 젤네일 고객센터 일본어 채팅/메일 상담 ZYi7 | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0076 | ㈜코스텍시스 | [코스닥상장] (주)코스텍시스 25년 하반기 공채(경영지원 부문) | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0077 | ㈜웅진 | [월급 231만 /동대문역/ 종로5가역 / 야간] 씽크빅 라이브올 상담원 채용 | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0078 | ㈜코스텍시스 | [코스닥상장] (주)코스텍시스 25년 하반기 공채(재무회계 부문) | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0079 | ㈜코스텍시스 | [코스닥상장] (주)코스텍시스 25년 하반기 공채(연구개발 부문) | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0080 | ㈜코스텍시스 | [코스닥상장] (주)코스텍시스 25년 하반기 공채(영업/마케팅 부문) | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0081 | ㈜코스텍시스 | [코스닥상장] (주)코스텍시스 25년 하반기 공채(품질 부문) | 5시간 전 등록
[2025-07-09 06:00:32] INFO - 0082 | 에이에스엠엘코리아㈜ | [ASML] EUV Technical Support Engineer (CO2 Laser) | 5시간 전 등록
[2025-07-09 06:00:33] INFO - 0083 | 허브아일랜드 영농조합법인 | [허브아일랜드] 힐링센터 판매직원 모집 | 5시간 전 등록
[2025-07-09 06:00:33] INFO - 0084 | 헤드컴 | [헤드컴] 생산부 신입 및 경력직 채용 | 5시간 전 등록
[2025-07-09 06:00:33] INFO - 0085 | 보람상조피플㈜ | 관리자 모집 | 5시간 전 등록
[2025-07-09 06:00:33] INFO - 0086 | 산업기술개발원 | [광명역GIDC] (주)BIIK 미군 행정 부서 신규 행정 직원 채용 | 5시간 전 등록
