[2025-07-14 06:00:02] INFO - 🔧 Logging initialized
[2025-07-14 06:00:02] INFO - 프로그램 시작됨
[2025-07-14 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-14 06:00:19] INFO - 🔢 총 공고 수: 173171건 → 최대 페이지 수: 3464 페이지
[2025-07-14 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-14 06:00:46] INFO - 0120 | ㈜홍약품 | 의약품도매업 사무직 직원 채용합니다. | 8시간 전 등록
[2025-07-14 06:00:46] INFO - 0121 | ㈜오픈스 | [서울로인 서울역점][연봉 3,700]홀 / 주방 정직원 채용 (신입/경력) | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0122 | ㈜성화종합건설 | 건설 경리사원모집 | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0123 | 고트델리 서촌 | [샌드위치,델리] 고트델리 신규 스탭을 모집합니다 | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0124 | ㈜멜팅스톤 | 성수동 Tenne(테니)에서 브런치 조리직원 구합니다. (근무08:30 - 17:30) | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0125 | 부산서면 닥터에버스의원 | [닥터에버스의원 부산서면]부산피부과 간호조무사님 모십니다 | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0126 | ㈜홀라인 | [홀라인 제주 평대점 스태프] 의류, 아웃도어 편집샵, 캠핑 매장 | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0127 | 유니센스일대일영어학원 | [영등포구청역] 성인대상 1:1 교포급 영어회화 강사 | 8시간 전 등록
[2025-07-14 06:00:47] INFO - 0128 | ㈜지붕과공간칸디자인 | [경력직] 지붕과공간칸디자인 실내인테리어 디자이너 충원 | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0129 | 카페 앤앤드 | 의정부로데오 수플레 팬케이크 디저트 전문점 카페 앤앤드 정직원 채용공고 | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0130 | 유의미커피로스터즈 | 유의미커피로스터즈 동탄점에서 함께할 바리스타를 구합니다. | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0131 | ㈜블랭커 | 디지털 인쇄, UV프린트 / 굿즈 인쇄 쇼핑몰 직원 채용 | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0132 | 케이씨비에스예술단(KCBS 예술단) | 기독예술단 (피아노,바이올린,작편곡,비올라,성악) 단원 모집 이메일접수요 | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0133 | 더포스영수학원 | 초중 수학강의 | 8시간 전 등록
[2025-07-14 06:00:48] INFO - 0134 | 수지온케어365의원 | 수지온케어365의원 간호조무사(피부과) 채용 공고 | 8시간 전 등록
[2025-07-14 06:00:49] INFO - 0135 | 하남미사짐보리 | 영유아 놀이 경력직 모집/목금토일 주4일 근무 | 9시간 전 등록
[2025-07-14 06:00:49] INFO - 0136 | 인라이튼학원 | 영어 보조 강사 모집 | 9시간 전 등록
[2025-07-14 06:00:49] INFO - 0137 | 폼드팡 안양엔터식스점 | 폼드팡 제빵사 채용 | 9시간 전 등록
[2025-07-14 06:00:49] INFO - 0138 | 커피공장헤이리 | 헤이리 커피공장에서 제빵사 구합니다 | 9시간 전 등록
[2025-07-14 06:00:49] INFO - 0139 | ㈜지피에프파트너스아이엔씨 | [의왕 롯데프리미엄아울렛 코코스퀘어] 반려견 동반 레스토랑 홀 팀원 모집 | 9시간 전 등록
[2025-07-14 06:00:49] INFO - 0140 | 유닉솔루션㈜ | 유닉솔루션(주) 플랫폼 서비스 QA 경력자 채용 | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0141 | 미엘린 | 반포 소재 영어학원 주3일 근무 데스크 직원 | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0142 | 주성씨엔디 | LG 인증점 사무보조 행정직원 모집 | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0143 | 압구정경희한의원 | [압구정동] 성장을 함께할 데스크팀 팀장님을 모집합니다. | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0144 | 농업회사법인㈜투마루 | [실무형 사무보조] 김천혁신도시 빵류제조 실무직 채용 | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0145 | ㈜엘핀 | Backend 개발 전문가 모집(2년 이상 경력 우대) | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0146 | ㈜에스투원디자인 | 디자이너(설계-건축,인테리어) 모집 | 9시간 전 등록
[2025-07-14 06:00:50] INFO - 0147 | ㈜에이치앤케이이앤지 | 기술부 R&D 연구원 신입/경력 채용 | 9시간 전 등록
[2025-07-14 06:00:51] INFO - 0148 | 무디브레드마켓 | 무디브레드마켓 2호점 바리스타 팀원 구합니다 | 9시간 전 등록
[2025-07-14 06:00:51] INFO - 0149 | 싱크삼형제 | 포천[싱크대 제조 공장]재단사신규모집 | 9시간 전 등록
[2025-07-14 06:00:51] INFO - 0150 | 농업회사법인㈜투마루 | [정규직/계약진 전환형] 빵류 제조 생산직 채용(김천혁신도시) | 9시간 전 등록
[2025-07-14 06:00:51] INFO - ⏱ 3.04초 대기
[2025-07-14 06:00:54] INFO - 
📄 현재 페이지: 4
[2025-07-14 06:00:55] INFO - 0151 | ㈜대교 | 차이홍&대교 랭귀지 스퀘어 영어 강사 모집 | 9시간 전 등록
[2025-07-14 06:00:55] INFO - 0152 | ㈜비비비인터내셔날 | [프리미엄 스파 브랜드] 헤드스파,테라피스트 구인합니다. | 9시간 전 등록
[2025-07-14 06:00:55] INFO - 0153 | ㈜대교 | 차이홍&대교 랭귀지 스퀘어 일본어 강사 채용 | 9시간 전 등록
[2025-07-14 06:00:55] INFO - 0154 | 의정부에어컨청소 세탁기청소 우렁총각 | 의정부.양주 우렁총각 에어컨,세탁기,건조기 분해청소 기사모집/비흡연필수 | 9시간 전 등록
[2025-07-14 06:00:55] INFO - 0155 | ㈜제이에스허브 | 온라인 MD 정규직 채용 | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0156 | 루브레드 발산 | 루브레드 신입 및 경력 제빵사 모집 합니다. | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0157 | 플러거 | 마켓빌리 Vue/React/Web Publisher/ Web Designer Recruitm | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0158 | 플러거 | 마켓빌리 JAVA /DBA/ TA/AA/ Back-end Recruitment | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0159 | DB손해보험 | DB손해보험 GA 설계매니저 채용 [광주] | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0160 | ㈜이스텍솔루션 | 납품, 배송, 물류 관리 직원 모집합니다 | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0161 | 여수 마리나부페 | 여수 마리나 부페 영업부 정규직 채용 | 9시간 전 등록
[2025-07-14 06:00:56] INFO - 0162 | 여수 마리나부페 | 여수 마리나 부페 조리부 정규직 채용 | 9시간 전 등록
[2025-07-14 06:00:57] INFO - 0163 | 하나테크 | 탄성코트 & 줄눈 시공팀원 채용 공고 | 10시간 전 등록
[2025-07-14 06:00:57] INFO - 0164 | 하나테크 | 마케팅 채용 공고 | 10시간 전 등록
[2025-07-14 06:00:57] INFO - 0165 | 브런치빈 안양평촌점 | 브런치빈 안양평촌점에서 홀 바리스타 직원 모십니다. | 10시간 전 등록
[2025-07-14 06:00:57] INFO - 0166 | 더홍 | (주)더홍코리아 가족사진 스튜디오 TM전화상담사 모집 | 10시간 전 등록
[2025-07-14 06:00:57] INFO - 0167 | ㈜어반레시피 | 어반레시피 운림본점 주방 직원 모집 | 10시간 전 등록
[2025-07-14 06:00:57] INFO - 0168 | 진평925 | 에이스외식산업 채용] 진평925 홀 서버 구인 | 10시간 전 등록
