[2025-07-07 06:00:01] INFO - 🔧 Logging initialized
[2025-07-07 06:00:02] INFO - 프로그램 시작됨
[2025-07-07 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-07 06:00:15] INFO - 🔢 총 공고 수: 172779건 → 최대 페이지 수: 3456 페이지
[2025-07-07 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-07 06:00:41] INFO - 0109 | ㈜찬솔노하우 | 거래처관리 사무 담당자 채용(1일/4시간)엑셀능력우수자 | 7시간 전 등록
[2025-07-07 06:00:41] INFO - 0110 | 잘빠진마케팅 | 잘빠진메밀 점장급 사원급 직원 채용 | 7시간 전 등록
[2025-07-07 06:00:41] INFO - 0111 | 조이피트니스 | 신규 오픈 동탄헬스장 조이피트니스 PT팀장/트레이너/FC구인 | 7시간 전 등록
[2025-07-07 06:00:41] INFO - 0112 | ㈜유희하 | [공간 유희하 청담역점] 2025 강남 주거 및 상업 인테리어 디자이너 모집 | 7시간 전 등록
[2025-07-07 06:00:41] INFO - 0113 | 에스엠서치플러스㈜ | M-M / 성수역 [영업X] 프리텔레콤 알뜰폰 관련 CS상담 (평일근무) | 7시간 전 등록
[2025-07-07 06:00:41] INFO - 0114 | 제이제이엘 | [매월 성과급] 웹디자이너(자사몰, 상페, DA 등) 경력직 모집 공고 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0115 | 데스카 | 경리.세무.회계 경영지원부 사원 모집 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0116 | 투썸플레이스 노원문화의거리점 | 투썸 노원문화의거리점 매니저 채용 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0117 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0118 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0119 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 7시간 전 등록
[2025-07-07 06:00:42] INFO - 0120 | 아비쥬의원(강서점) | [아비쥬 강서] 간호조무사 채용 / 신입 세후 240이상, 식대별도 | 7시간 전 등록
[2025-07-07 06:00:43] INFO - 0121 | 은호테크 | [은호테크] 물류센터 현장 담당자 채용 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0122 | 주식회사 보드게임카페레드버튼신촌 | 프랜차이즈 카페 매니저 채용 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0123 | 세무회계 해솔 | 세무회계해솔 경력직원 추가 채용의 건 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0124 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0125 | ㈜지붕과공간칸디자인 | [경력직] 지붕과공간칸디자인 실내인테리어 디자이너 충원 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0126 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-07-07 06:00:43] INFO - 0127 | 서울대C&C미술학원 | [관악구] 씨앤씨미술학원 중등반 강사 모집합니다. | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0128 | ㈜메이크인 | [관악/정규직전환/파견아님] SK 계열사 정보보안 담당자 채용 | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0129 | 엘로이동물병원 | 수원 신규 개원 동물병원에서 수의 테크니션을 모집합니다. | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0130 | ㈜아이씨 | 주식회사 아이씨 물류센터에서 같이 근무하실 인재를 모집합니다. | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0131 | ㈜아이씨 | 주식회사 아이씨 물류센터에서 같이 근무하실 직원을 모집합니다. | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0132 | 은호테크 | [은호테크] 사무직 담당자 채용 | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0133 | ㈜가온헬스케어 | 대전 충남북 삼성메디슨 초음파 의료기 서비스 엔지니어 | 8시간 전 등록
[2025-07-07 06:00:44] INFO - 0134 | 법무법인 시우 | [법무법인 시우] 외국인 전담 소송팀 직원 채용(신입/경력)(영어업무) | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0135 | ㈜씨메드(C-MED) | 일본어통번역 | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0136 | ㈜케이엠인터내셔널코리아 세종 | 잭슨나인스 세종 테마파크 정직원 채용 | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0137 | ㈜가온헬스케어 | 대전 충남북 삼성메디슨 초음파 의료기 임상 | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0138 | ㈜씨메드(C-MED) | 해외영업 담당자 (신규 및 경력직) | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0139 | ㈜씨메드(C-MED) | 화장품 책임판매업자, 화장품제조 담당자 구인 | 8시간 전 등록
[2025-07-07 06:00:45] INFO - 0140 | ㈜씨메드(C-MED) | 웹디자인.패키지디자인 | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0141 | 대박맛집 | [10-14/4시간/평일5일] 주방보조 중앙동 (주말,공휴일 휴무) | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0142 | 대박맛집 | [9-14/5시간/평일5일] [주방보조 중앙동] (주말,공휴일 휴무) | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0143 | (주)잇올 | [산본] 잇올 스파르타 센터 운영관리자 채용 | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0144 | 프라임에셋 | 광명역 첫번째 지점 GA보험 대리점 설계사 온라인영업전문 DB지원 | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0145 | 세정회계법인 | [양재역]세정회계법인 세무기장 신입 및 경력직원 모집 | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0146 | ㈜포이텍 | SAP,ABAP 개발인력 모집 | 8시간 전 등록
[2025-07-07 06:00:46] INFO - 0147 | 송현학원 | [송파/성남/위례] 송현국어학원 중등부 고등부 국어 강사 모집 | 8시간 전 등록
[2025-07-07 06:00:47] INFO - 0148 | 벨루모바일 | 오픈마켓 관리 및 상세페이지 썸네일 제작 | 9시간 전 등록
[2025-07-07 06:00:47] INFO - 0149 | ㈜티엠커머스 | 홈쇼핑방송 영업 경력사원 모집합니다. | 9시간 전 등록
[2025-07-07 06:00:47] INFO - 0150 | 티티씨㈜(TTC Co. ,Ltd.) | TTC 경영지원팀 신규직원 모집 | 9시간 전 등록
[2025-07-07 06:00:47] INFO - ⏱ 2.83초 대기
[2025-07-07 06:00:50] INFO - 
📄 현재 페이지: 4
[2025-07-07 06:00:51] INFO - 0151 | 르글라스 압구정점 | 국내 최초 프리미엄 Glass wine bar 르 글라스 압구정에서 인재채용. | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0152 | 고메스퀘어 파주직영점 | 고메스퀘어 파주직영점 홀파트 정직원(사원-캡틴) 모집합니다 | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0153 | 고메스퀘어 파주직영점 | 고메스퀘어 파주점 양식,중식,샐러드(사원-대리) 채용공고 | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0154 | 성백에프엔에스 | 프랜차이즈 본사 경영지원실(회계,총무) 팀원 모집 공고 | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0155 | ㈜와인사랑 롯데에비뉴엘 월드타워점 | 아영fbc )롯데월드몰 다이닝 & 카페 더페어링 주방 디저트 파트 모집 | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0156 | 브랜뉴스튜디오 | 브랜뉴스튜디오 패션의류 SNS마케팅&컨텐츠기획 정규직 공고 | 9시간 전 등록
[2025-07-07 06:00:51] INFO - 0157 | 신화케이푸드 세종긴자 | [주5일] 프리미엄 일식 긴자 청주점 상위 관리자 모집 - 점장 / 부점장 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0158 | ㈜액세스린(ACCESS Lin Inc.) | 진천 공장 - 생산관리 정규직 (경력 무관) 채용 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0159 | 한일개발㈜ | 한일개발(주) 재무/회계, 견적(외주) 경력사원 모집 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0160 | 한일개발㈜ | 한일개발(주) 토목, 안전, 기계설비 경력사원 모집 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0161 | ㈜케이엠인터내셔널코리아 세종 | 잭슨나인스 세종 스낵바 직원 채용 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0162 | 하이비즈넷 | JAVA/JSP 웹앱 중급 모바일 개발자 모집 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0163 | ㈜데이타늄 | 공공SI/SM 시스템 운영 관리자 모집 | 9시간 전 등록
[2025-07-07 06:00:52] INFO - 0164 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 9시간 전 등록
[2025-07-07 06:00:53] INFO - 0165 | ㈜화심인터내셔날 | 수출무역회사 영업담당자 채용(중고차,화장품) | 9시간 전 등록
