[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:36] INFO - 0086 | ㈜선정인터내셔날 | [B2B마케팅/회원사관리] NICE그룹 인증서비스 계약갱신/영업 | 5시간 전 등록
[2025-07-03 06:00:36] INFO - 0087 | 트랜스코스모스코리아 | [신규오픈]아이리스브라이트 관리자(강사,운영팀장,민원팀장)채용 ZQg9 | 5시간 전 등록
[2025-07-03 06:00:36] INFO - 0088 | 현대아이에이치엘㈜ | 현대아이에이치엘㈜ 성형팀 생산직 신입사원 모집 | 5시간 전 등록
[2025-07-03 06:00:36] INFO - 0089 | DB손해보험㈜ | 디비손해보험 부평TC 직무설명회 | 5시간 전 등록
[2025-07-03 06:00:36] INFO - 0090 | ㈜스카우트 | [화성/단기] 자동차 부품 관련 단순 검수 업무 급구 | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0091 | 리드커리어 주식회사 | [식대지급/연3000만/재택병행] 지그재그 헬스 & 뷰티 AMD 채용 | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0092 | 엘비휴넷㈜ | 7월22일 바로출근 LG유플러스 전주고객센터 인원모집(익산,군산셔틀) | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0093 | ㈜선정인터내셔날 | [임원비서/분당] KT 본사 비서 경력직 | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0094 | 에이스휴먼파워㈜ | [서초/식대지원/3500이상] 에이스휴먼파워 잡매니저(채용/인사) 정규직 | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0095 | 애드민 | SGI신용정보 통신미납안내 상담원 채용 (무제한 성과급) | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0096 | ㈜윌앤비전 | [윌앤비전 정규직] 인천공항 T1 면세구역內 푸드코트 현장관리자 채용 | 5시간 전 등록
[2025-07-03 06:00:37] INFO - 0097 | ㈜에코마케팅 | [에코마케팅]백엔드 개발자(Python, Java) 신입/경력사원 채용 | 6시간 전 등록
[2025-07-03 06:00:38] INFO - 0098 | 삼성영어셀레나메비스수학신검단중앙학원 | 초중등수학전문 학원에서 수학선생님을 모십니다. | 6시간 전 등록
[2025-07-03 06:00:38] INFO - 0099 | 컴포즈커피 검단법원광장점 | 컴포즈커피 검단법원광장점 알바 구해요 | 6시간 전 등록
[2025-07-03 06:00:38] INFO - 0100 | 프라임에셋㈜ | [월 500만 이상 가능] 프라임 예셋 2025년 보험설계사 신입,경력 채용 | 6시간 전 등록
