[2025-07-12 06:00:01] INFO - 🔧 Logging initialized
[2025-07-12 06:00:02] INFO - 프로그램 시작됨
[2025-07-12 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-12 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-12 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-12 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-12 06:00:53] INFO - 🔢 총 공고 수: 183029건 → 최대 페이지 수: 3661 페이지
[2025-07-12 06:00:53] INFO - 
📄 현재 페이지: 1
[2025-07-12 06:01:21] INFO - 0134 | ㈔대한민국청소년로봇 | 진로체험수업 하실 강사님 채용 | 6시간 전 등록
[2025-07-12 06:01:21] INFO - 0135 | 인베스트리에셋 | [일산 지점] 하반기 신규 유튜브 주식 전문가 공개채용 | 6시간 전 등록
[2025-07-12 06:01:21] INFO - 0136 | ㈜밸류비앤비 | [당산] 밸류비앤비 유튜브 영상 편집자 채용 (경력) | 6시간 전 등록
[2025-07-12 06:01:21] INFO - 0137 | ㈜엘투휘트니스 청량리지점 | [청량리 헬스장] 엘투휘트니스 청량리점에서 같이 일하실 신규/경력 FC선생 | 7시간 전 등록
[2025-07-12 06:01:21] INFO - 0138 | 한진택배구미봉곡점 | 의류박스 배송기사 및 택배기사 모십니다. | 7시간 전 등록
[2025-07-12 06:01:21] INFO - 0139 | 근제 베이커리 | 근제 베이커리 판매 팀원 모집 | 7시간 전 등록
[2025-07-12 06:01:22] INFO - 0140 | ㈜코아테크프로 | [천안/수신면] (주)오뚜기그룹-자회사 식품가공부 사원모집 | 7시간 전 등록
[2025-07-12 06:01:22] INFO - 0141 | ㈜솔텍아이앤에스 | 통합메세징(UMS) 구축 고도화 - PM | 8시간 전 등록
[2025-07-12 06:01:22] INFO - 0142 | 삼성생명보험㈜서초사 | [삼성생명 법인사업부 ] 기업(법인) 중소기업컨설팅 예비 전문가 모집 | 8시간 전 등록
[2025-07-12 06:01:22] INFO - 0143 | 삼성생명보험㈜ | [기업컨설팅 고능률 조직 GFC사업부] 중소기업 경영컨설팅 준 전문가 모집 | 8시간 전 등록
[2025-07-12 06:01:22] INFO - 0144 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-12 06:01:22] INFO - 0145 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-12 06:01:23] INFO - 0146 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-12 06:01:23] INFO - 0147 | 삼성생명보험㈜서초사옥 | [삼성생명 미래 성장조직-GFC]지속 성장중인 기업경영컨설팅 모집 | 8시간 전 등록
[2025-07-12 06:01:23] INFO - 0148 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-12 06:01:23] INFO - 0149 | 한국호텔리어협회 | 특급관광호텔&골프장호텔 정규직/ | 8시간 전 등록
[2025-07-12 06:01:23] INFO - 0150 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-12 06:01:23] INFO - ⏱ 3.35초 대기
[2025-07-12 06:01:27] INFO - 
📄 현재 페이지: 4
[2025-07-12 06:01:27] INFO - 0151 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-12 06:01:27] INFO - 0152 | 삼성생명보험㈜서초사옥 | [기업재무상담 전문가 GFC]기업보험시장은 블루오션 - 기업경영컨설팅 | 8시간 전 등록
