[2025-07-10 06:00:01] INFO - 🔧 Logging initialized
[2025-07-10 06:00:01] INFO - 프로그램 시작됨
[2025-07-10 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-10 06:00:21] INFO - 🔢 총 공고 수: 181828건 → 최대 페이지 수: 3637 페이지
[2025-07-10 06:00:21] INFO - 
📄 현재 페이지: 1
[2025-07-10 06:00:55] INFO - 0156 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용. | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0157 | FTK 향남어학원 (English) | FTK English 어학원 영어강사 모집 | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0158 | 연세더바른병원 | 김포 연세더바른병원 홍보직원을 채용합니다 | 8시간 전 등록
[2025-07-10 06:00:55] INFO - 0159 | ㈜딜리버리랩 | [딜리버리랩] FC 영업관리 담당자 채용 | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0160 | 이수정보㈜ | [강남] OO생명 채널 운영(초급,중급,고급) | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0161 | ㈜엠넷정보통신 | JAVA 경력직 초급 채용[SM] | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0162 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0163 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0164 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집. | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0165 | 규야마루 | 광명 철산 야끼니꾸 규야마루 정직원 채용 | 8시간 전 등록
[2025-07-10 06:00:56] INFO - 0166 | DELLADE(델라디) | 미학 미디어 아티스트 영상촬영 기사 PD (프리렌서) | 8시간 전 등록
