[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:30] INFO - 0071 | ㈜케이티씨에스 | [ktcs/전북은행] 스리랑카 외국인 모집 | 5시간 전 등록
[2025-07-08 06:00:30] INFO - 0072 | 동호에이치알㈜ | [여의도/외국계 코스메틱] 인사총무팀 Payroll 채용(ASAP) | 5시간 전 등록
[2025-07-08 06:00:30] INFO - 0073 | 피엔에이링크 | [코오롱인더스트리/김천] 친환경 에너지 전시관 사무/교육 직원 채용 | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0074 | 이케이맨파워주식회사 | [시청역/교육5일/정규직] 대성쎌틱 보일러 AS 접수 상담사 모집 | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0075 | ㈜맨토스파워 | [커넥트현대청주점] 애슬레저브랜드 젝시믹스 위탁운영 매니저 채용 | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0076 | 주식회사 엠피씨플러스 | [높은급여] 해피오더 배달어플 안내 주간/리더 채용 | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0077 | ㈜엠제이플렉스 | [CJ올리브네트웍스/운영에디터] 분당/유튜브/채널/TvN/디글/썸네일제작 | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0078 | ㈜서빅 | KB손해보험 임원 수행기사 채용(차고지, 근무지 : 대전) | 5시간 전 등록
[2025-07-08 06:00:31] INFO - 0079 | ㈜잡스테이션 | 급구[3조2교대근무/주급가능/상여금有]청주공단-반도체사원모집 | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0080 | 리드커리어㈜ | [SK계열/대기업] 정수기 실험 보조 채용(스펙UP,수원 내 셔틀버스) | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0081 | 에스엠케이 | 안산 반월공단 HPCB 전공정 채용 [기숙사1,2인실무료/정착지원금/통근버스] | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0082 | 에스엠케이 | 시화공단 BBT 전자회로검사 샘플 수입출하 사원모집 [기숙사/통근버스] | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0083 | (주)맨파워코리아 | [이천/주5일/식사제공]의류 물류센터 현장피킹(다스) 직원채용 | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0084 | ㈜엠제이플렉스 | [JTBC/택시비지급/야간] 국제부 외신모니터링 및 인제스트 채용 | 5시간 전 등록
[2025-07-08 06:00:32] INFO - 0085 | ㈜선정인터내셔날 | [강릉/사무보조] 공기업 | 5시간 전 등록
